question,annotated
create relplot using hf x pressure y mass_flux col geometry hue author,create relplot using hf [param : x] pressure [param : y] mass_flux [param : col] geometry [param : hue] author
create seaborn scatterplot using penguins x bill_length_mm y bill_depth_mm hue island,create seaborn scatterplot [source : using] penguins [param : x] bill_length_mm [param : y] bill_depth_mm [param : hue] island
create scatterplot using data x bill_length_mm y bill_depth_mm,create scatterplot [token_remove : using data] [param : x] bill_length_mm [param : y] bill_depth_mm
create relplot using hf x pressure y x_e_out col geometry row author,create relplot [token_remove : using] hf [param : x] pressure [param : y] x_e_out [param : col] geometry [param : row] author
create seaborn kernel density plot using hf x x_e_out y pressure hue geometry,create seaborn kernel density plot [source : using] hf [param : x] x_e_out [param : y] pressure [param : hue] geometry
make scatterplot x flipper_length_mm y body_mass_g using penguins,make scatterplot [param : x] flipper_length_mm [param : y] body_mass_g [source : using] penguins
plot scatterplot x flipper_length_mm y body_mass_g using penguins hue sex,plot scatterplot [param : x] flipper_length_mm [param : y] body_mass_g [source : using] penguins [param : hue] sex
plot scatterplot x flipper_length_mm y body_mass_g using penguins hue sex,plot scatterplot [param : x] flipper_length_mm [param : y] body_mass_g [source : using] penguins [param : hue] sex
plot lineplot x flipper_length_mm y body_mass_g using penguins hue sex,plot lineplot [param : x] flipper_length_mm [param : y] body_mass_g [source : using] penguins [param : hue] sex
seaborn regression x bill_length_mm y bill_depth_mm using penguins hue sex,seaborn regression [param : x] bill_length_mm [param : y] bill_depth_mm [source : using] penguins [param : hue] sex
seaborn regression x bill_length_mm y bill_depth_mm col species hue sex using penguins,seaborn regression [param : x] bill_length_mm [param : y] bill_depth_mm [param : col] species [param : hue] sex [source : using] penguins
create seaborn relplot for penguins x bill_length_mm y bill_depth_mm col species,create seaborn relplot [source : for] penguins [param : x] bill_length_mm [param : y] bill_depth_mm [param : col] species
create relplot using penguins x bill_length_mm y bill_depth_mm col species hue sex,create relplot [source : using] penguins [param : x] bill_length_mm [param : y] bill_depth_mm [param : col] species [param : hue] sex
create seaborn boxplot for penguins y bill_length_mm x species hue island,create seaborn boxplot [source : for] penguins [param : y] bill_length_mm [param : x] species [param : hue] island
create seaborn violinplot for penguins x bill_length_mm y sex hue island,create seaborn violinplot [source : for] penguins [param : x] bill_length_mm [param : y] sex [param : hue] island
create seaborn residual plot using penguins x bill_length_mm y bill_depth_mm,create seaborn residual plot [source : using] penguins [param : x] bill_length_mm [param : y] bill_depth_mm
create histogram for penguins x bill_length_mm bw 30,create histogram [source : for] penguins [param : x] bill_length_mm [param : bw] 30
using data penguins produce a histogram plot using seaborn setting parameters x body_mass_g bw 10,[source : using data] penguins produce a histogram plot using seaborn [token_remove : setting parameters] [param : x] body_mass_g [param : bw] 10
setting data penguins create a seaborn histogram plot setting parameters x body_mass_g nbins 100,[token_remove : setting data] penguins create a seaborn histogram plot setting parameters [param : x] body_mass_g [param : nbins] 100
nbins 30,[param : nbins] 30
nbins 100,[param : nbins] 100
join inner,[param : join] inner
in penguins,[source : in] penguins
in data penguins,[token_remove : in data] penguins
popmean 10,[param : popmean] 10
col_wrap 2, [param : col_wrap] 2
1 2 3 4 5 6 7 8 9 10,1 2 3 4 5 6 7 8 9 10
1 2 3 4 5 6 7 8 9 10,1 2 3 4 5 6 7 8 9 10
1 2 3 4 5 6 7 8 9 10,1 2 3 4 5 6 7 8 9 10
1 2 3 4 5 6 7 8 9 10,1 2 3 4 5 6 7 8 9 10
create plotly violin plot using dataset penguins set parameters x columnA marginal_x box,create plotly violin plot [token_remove : using dataset] penguins [token_remove : set parameters] [param : x] columnA [param : marginal_x] box
with data penguins create a plotly violin plot define parameters x columnA marginal_x box, [token_remove : with data] penguins create a plotly violin plot [token_remove : define parameters] [param : x] columnA [param : marginal_x] box
create a bag of words model for text column review using data reviews ngram_range 1 2, create a bag of words model for text [subset : column] review [token_remove : using data] reviews [param : ngram_range] 1 2
create a bag of words model for text column sex using data penguins ngram_range 1 2, create a bag of words model for text [subset : column] sex [token_remove : using data] penguins [param : ngram_range] 1 2 
show missing data in column sex in penguins, show missing data in [subset : column] sex [source : in] penguins
show missing data in col sex in data penguins, show missing data in [param : col] sex [token_remove : in data] penguins
show missing data in all columns in penguins, show missing data in all [subset : columns] [source : in] penguins
generate the fourier transformation of columns A B C utilising data D, generate the fourier transformation of [subset : columns] A B C [source : utilising data] D
with data D visualise the fft for columns A B C, [token_remove : with data] D visualise the fft for [subset : columns] A B C
utilising dataset A calculate the fourier transformation of columns B C D, [source : utilising dataset] A calculate the fourier transformation of [subset : columns] B C D
with data D visualise the fft of columns A B, [token_remove : with data] D visualise the fft of [subset : columns] A B
with dataset A calculate the fourier transformation of columns B C D, [token_remove : with dataset] A calculate the fourier transformation of [subset : columns] B C D
utilising dataset A visualise the fast fourier transformations for column B, [token_remove : utilising dataset] A visualise the fast fourier transformations for [subset : column] B
concatenate two dataframes join inner, concatenate two dataframes [param : join] inner
concatenate two dataframes axis 1, concatenate two dataframes [param : axis] 1
template plotly_white, [pp : template] plotly_white
define plot parameters mew 1.5 mec 1.4 create a plotly scatter plot using data A set x columnA and y columnB, define plot parameters [param : mew] 1.5 [param : mec] 1.4 create a plotly scatter plot [token_remove : using data] A set [param : x] columnA and [param : y] columnB
create plotly scatterplot x body_mass_g y bill_depth_mm hue island col sex mew 1.5 mec black s 7 marginal_x box marginal_y box using penguins, create plotly scatterplot [param : x] body_mass_g [param : y] bill_depth_mm [param : hue] island [param : col] sex [param : mew] 1.5 [param : mec] black [param : s] 7 [param : marginal_x] box [param : marginal_y] box [source : using] penguins
marginal histogram marginal_y box trendline ols, [param : marginal] histogram [param : marginal] box [param : trendline] ols
marginal_x histogram marginal_y violinplot nbinsx 100 nbinsy 100,[param : marginal_x] histogram [param : marginal_y] violin [param : nbinsx] 100 [param : nbinsy] 100
create histogram for penguins x bill_length_mm y bill_depth_mm bw 30,create histogram [source : for] penguins [param : x] bill_length_mm [param : y] bill_depth_mm [param : bw] 30
create seaborn kernel density plot using penguins x bill_length_mm hue species,create seaborn kernel density plot [source : using] penguins [param : x] bill_length_mm [param : hue] species
create seaborn pairplot using penguins hue species,create seaborn pairplot [source : using] penguins [param : hue] species
plot scatterplot x s3 y s5 using zscore_labels hue outlier_zscore,plot scatterplot [param : x] s3 [param : y] s5 [source : using] zscore_labels [param : hue] outlier_zscore
plot scatterplot x s1 y s2 using iqr_labels hue outlier_iqr,plot scatterplot [param : x] s1 [param : y] s2 [source : using] iqr_labels [param : hue] outlier_iqr
find outliers using normal distribution for diab,find outliers using normal distribution [source : for] diab
find outliers using normal distribution use diab,find outliers using normal distribution [source : use] diab
create seaborn kernel density plot use hf and x x_e_out hue geometry,create seaborn kernel density plot [source : use] hf and [param : x] x_e_out [param : hue] geometry
find outliers using normal distribution using data diab,find outliers using normal distribution [token_remove : using data] diab
create histogram using data penguins x bill_length_mm y bill_depth_mm,create histogram [token_remove : using data] penguins [param : x] bill_length_mm [param : y] bill_depth_mm
create seaborn scatter plot using data pca,create seaborn scatter plot [token_remove : using data] pca
pca dimensionality reduction using data housing,pca dimensionality reduction [token_remove : using data] housing
visualise dataplot for dbscan_labels hue outlier_dbscan,visualise dataplot [source : for] dbscan_labels [param : hue] outlier_dbscan
visualise kdeplot for hf hue author fill True alpha 0.1 mew 1 mec 1 s 10 stheme viridis bw 10,visualise kdeplot [source : for] hf [param : hue] author [pp : fill] True [param : alpha] 0.1 [param : mew] 1 [param : mec] 1 [param : s] 10 [param : stheme] viridis [param : bw] 10
visualise kdeplot for hf hue author,visualise kdeplot [source : for] hf [param : hue] author
create seaborn kernel density plot using hf x x_e_out,create seaborn kernel density plot [source : using] hf [param : x] x_e_out
visualise kdeplot for compare hue sets,visualise kdeplot [source : for] compare [param : hue] sets
define parameters mew 1.5 create plotly scatterplot x body_mass_g y bill_length_mm bill_depth_mm using dataset penguins, [token_remove : define parameters] [param : mew] 1.5 create plotly scatterplot [param : x] body_mass_g [param : y] bill_length_mm bill_depth_mm [token_remove : using dataset] penguins
set parameters mec black mew 1.5 create plotly boxplot define parameters x body_mass_g using penguins, [token_remove : set parameters] [param : mec] black [param : mew] 1.5 create plotly boxplot [token_remove : define parameters] [param : x] body_mass_g [source : using] penguins
using dataset penguins create plotly boxplot with defined parameters x body_mass_g, [token_remove : using dataset] penguins create plotly boxplot [token_remove : with defined parameters] x body_mass_g
with dataset penguins create a plotly boxplot using parameters x body_mass_g, [token_remove : with dataset] penguins create a plotly boxplot [token_remove : using parameters] [param : x] body_mass_g
using data penguins create a plotly scatter plot using defined parameters x body_mass_g y bill_depth_mm and hue island, [token_remove : using data] penguins create a plotly scatter plot [token_remove : using defined parameters] [param : x] body_mass_g [param : y] bill_depth_mm and [param : hue] island 
with defined parameters x body_mass_g y bill_depth_mm create a plotly scatter plot using data penguins, [token_remove : with defined parameters] [param : x] body_mass_g [param : y] bill_depth_mm create a plotly scatter plot [token_remove : using data] penguins
create a bag of words model for text column reviews using reviews_data define ngram_range 1 2, create a bag of words model for text [subset : column] reviews [source : using] reviews_data [token_remove : define] [param : ngram_range] 1 2 
create a tfidf model for column columnA using reviews_data defining ngram_range 1 2, create a tfidf model for [subset : column] columnA [source : using] reviews_data [token : defining] [param : ngram_range] 1 2
with data reviews_data create bag of words model using column columnA setting parameters ngram_range 1 2, [source : with data] reviews_data create bag of words model using [subset : column] columnA [token_remove : setting parameters] [param : ngram_range] 1 2 
using data create plotly scatter plot using parameters set,[token_remove : using data] create plotly scatter plot [token_remove : using parameters] [token_remove : set] 
in dataset titanic show the percentage of data missing,[token_remove : in dataset] titanic show the percentage of data missing
using data titanic how many rows are missing,[token_remove : using data] titanic how many rows are missing
what is the percentage of missing rows in data titanic, what is the percentage of missing rows [token_remove : in data] titanic
plot a seaborn scatterplot using parameters x radius_mean y texture_mean using data breast_data hue diagnosis s 20,plot a seaborn scatterplot [token_remove : using parameters] [param : x] radius_mean [param : y] texture_mean [token_remove : using data] breast_data [param : hue] diagnosis [param : s] 20
plot a seaborn scatterplot using parameters x radius_mean y concavity_mean using data breast_data hue diagnosis s 15 mew 1 mec k,plot a seaborn scatterplot using parameters [param : x] radius_mean [param : y] concavity_mean [token_remove : using data] breast_data [param : hue] diagnosis [param : s] 15 [param : mew] 1 [param : mec] k
convert column diagnosis to dtype string in breast_data,convert [subset : column] diagnosis to [param : dtype] string in breast_data 
in data breast_data convert diagnosis to dtype int64,[token_remove : in data] breast_data convert diagnosis to [param : dtype] int64
create a seaborn histogram plot of x radius_worst using breast_data nbins 20,create a seaborn histogram plot of [param : x] radius_worst [token_remove : using] breast_data [param : nbins] 20
using breast_data create a seaborn histogram plot of x radius_worst and hue diagnosis using breast_data nbins 40 barmode overlay,[token_remove : using] breast_data create a seaborn histogram plot of [param : x] radius_worst and [param : hue] diagnosis [param : nbins] 40 [param : barmode] overlay
create a seaborn histogram plot of x radius_worst and hue diagnosis using breast_data set parameters nbins 20 barmode overlap alpha 0.5,create a seaborn histogram plot of [param : y] radius_worst and [param : hue] diagnosis [token_remove : using] breast_data [token_remove : set parameters] [param : nbins] 20 [param : barmode] overlap [param : alpha] 0.5
with dataset breast_data produce a histogram plot using seaborn using column radius_worst set parameters hue diagnosis and barmode overlap,[token_remove : with dataset] breast_data produce a histogram plot [token_remove : using] seaborn [token_remove : using] column radius_worst [token_remove : set parameters] [param : hue] diagnosis and [param : barmode] overlap